,id,timestamp,age_range,industry,job,job_context,annual_salary,add_compensation,currency,other_currency,income_context,country,state,all_experience,field_experience,education-level,gender,race
49,50,2021-04-27 11:11:09,35-44,Entertainment,"Manager, Production",NaN,90000,0.0,USD,NaN,NaN,United States,California,11 - 20 years,8 - 10 years,Master's degree,Man,White
50,51,2021-04-27 11:11:11,25-34,Business or Consulting,Executive Assistant,NaN,52000,100.0,CAD,NaN,NaN,Canada,NaN,11 - 20 years,8 - 10 years,Some college,Woman,White
51,52,2021-04-27 11:11:33,25-34,Law,Attorney,Self-employed,80000,12000.0,USD,NaN,NaN,United States,Pennsylvania,8 - 10 years,8 - 10 years,PhD,Woman,White
52,53,2021-04-27 11:11:47,25-34,Computing or Tech,Embedded Software Engineer,NaN,80000,0.0,USD,NaN,NaN,United States,Virginia,2 - 4 years,2 - 4 years,College degree,Man,White
53,54,2021-04-27 11:12:01,35-44,Nonprofits,Senior Product Manager,NaN,117000,0.0,USD,NaN,NaN,United States,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Woman,White
54,55,2021-04-27 11:12:05,35-44,Transport or Logistics,International Trade Compliance Manager,Customs License Broker,126000,6000.0,USD,NaN,NaN,United States,New York,11 - 20 years,8 - 10 years,College degree,Woman,Asian or Asian American
55,56,2021-04-27 11:12:07,25-34,"Accounting, Banking & Finance",Accounts Payable,NaN,55000,2000.0,USD,NaN,NaN,United States,California,5-7 years,5-7 years,College degree,Man,Asian or Asian American
56,57,2021-04-27 11:12:07,45-54,Health care,RN,NaN,97000,0.0,CAD,NaN,NaN,Canada,NaN,31 - 40 years,31 - 40 years,College degree,Woman,White
57,58,2021-04-27 11:12:11,25-34,Computing or Tech,ux developer & product designer (junior),NaN,65000,3000.0,USD,NaN,bonuses are contingent on the entire company meeting yearly goals,United States,Missouri,8 - 10 years,1 year or less,College degree,Woman,White
58,59,2021-04-27 11:12:18,25-34,Nonprofits,Fellowship Director,NaN,58000,0.0,USD,NaN,NaN,United States,Massachusetts,8 - 10 years,8 - 10 years,College degree,Woman,White
59,60,2021-04-27 11:12:21,25-34,"Accounting, Banking & Finance",Program Manager,NaN,87000,0.0,USD,NaN,NaN,United States,Delaware,11 - 20 years,2 - 4 years,Master's degree,Woman,White
60,61,2021-04-27 11:12:26,35-44,Nonprofits,development assistant,NaN,37960,0.0,USD,NaN,NaN,United States,Pennsylvania,11 - 20 years,5-7 years,College degree,Woman,White
61,62,2021-04-27 11:12:28,35-44,Media & Digital,Digital Media Production Engineer,NaN,50000,0.0,USD,NaN,NaN,United States,New York,11 - 20 years,11 - 20 years,College degree,Woman,White
62,63,2021-04-27 11:12:38,25-34,Engineering or Manufacturing,QA Manager,NaN,109000,9000.0,USD,NaN,NaN,United States,Ohio,8 - 10 years,8 - 10 years,College degree,Other or prefer not to answer,White
63,64,2021-04-27 11:12:58,35-44,Health care,Quality Engineer,NaN,110000,5000.0,USD,NaN,NaN,United States,Washington,11 - 20 years,11 - 20 years,College degree,Woman,White
64,65,2021-04-27 11:13:00,25-34,Public health,Research fellow,NaN,55000,0.0,USD,NaN,NaN,United States,Georgia,2 - 4 years,2 - 4 years,Master's degree,Woman,White
65,66,2021-04-27 11:13:03,25-34,Government and Public Administration,Project Manager,NaN,46000,0.0,GBP,NaN,NaN,United Kingdom,NaN,11 - 20 years,5-7 years,Master's degree,Woman,White
66,67,2021-04-27 11:13:04,25-34,Social Work,Volunteer Specialist,Work at a rape crisis center,38600,0.0,USD,NaN,NaN,United States,Missouri,5-7 years,5-7 years,College degree,Woman,White
67,68,2021-04-27 11:13:25,25-34,Engineering or Manufacturing,Pipeline integrity engineer,NaN,95000,10000.0,CAD,NaN,NaN,Canada,NaN,5-7 years,5-7 years,College degree,Woman,White
68,69,2021-04-27 11:13:48,25-34,"Accounting, Banking & Finance",Records Management,Managing documentation for a financial institution,33800,0.0,USD,NaN,NaN,United States,Washington,5-7 years,5-7 years,College degree,Non-binary,White
69,70,2021-04-27 11:13:53,35-44,Education (Higher Education),Data Specialist,NaN,55000,0.0,USD,NaN,NaN,United States,Illinois,11 - 20 years,8 - 10 years,College degree,Woman,White
70,71,2021-04-27 11:14:04,25-34,Business or Consulting,Senior Pharmacy Financial Consultant,backend financial modeling to help companies choose a pharmacy vendor (USA),124000,0.0,USD,NaN,NaN,United States,Minnesota,8 - 10 years,5-7 years,Master's degree,Woman,White
71,72,2021-04-27 11:14:15,45-54,Health care,IRB Specialist,NaN,77000,0.0,USD,NaN,NaN,United States,Illinois,21 - 30 years,8 - 10 years,College degree,Woman,White
72,73,2021-04-27 11:14:25,25-34,Law,Attorney,NaN,160000,20000.0,USD,NaN,NaN,United States,Florida,8 - 10 years,8 - 10 years,PhD,Woman,White
73,74,2021-04-27 11:14:34,25-34,Nonprofits,Librarian,NaN,45000,0.0,USD,NaN,NaN,United States,Michigan,11 - 20 years,11 - 20 years,Master's degree,Woman,White
74,75,2021-04-27 11:14:39,25-34,Law,Member Benefits Specialist,NaN,63000,0.0,USD,NaN,NaN,United States,District of Columbia,5-7 years,2 - 4 years,Master's degree,Woman,White
75,76,2021-04-27 11:14:44,25-34,Nonprofits,Project Manager,NaN,80000,4500.0,USD,NaN,Bonuses vary each year. Also added in retirement contribution from employer,United States,Massachusetts,5-7 years,2 - 4 years,Master's degree,Woman,White
76,77,2021-04-27 11:14:47,35-44,Business or Consulting,Senior project manager,NaN,145600,0.0,USD,NaN,NaN,United States,California,11 - 20 years,11 - 20 years,College degree,Woman,White
77,78,2021-04-27 11:14:48,35-44,Nonprofits,Data Analytics Manager,NaN,74000,0.0,EUR,NaN,"Benefits include pension, public transport allowance, lunch allowance and 5 weeks paid leave",Netherlands,NaN,11 - 20 years,2 - 4 years,Master's degree,Man,White
78,79,2021-04-27 11:14:54,25-34,Law,Staff Attorney,Government,89000,1000.0,USD,NaN,NaN,United States,Maryland,8 - 10 years,2 - 4 years,Master's degree,Woman,White
79,80,2021-04-27 11:14:56,45-54,Law,Legal Secretary,NaN,67000,0.0,USD,NaN,NaN,United States,Delaware,21 - 30 years,11 - 20 years,Some college,Woman,White
80,81,2021-04-27 11:15:23,35-44,Media & Digital,Sr. Product Manager,Technology Product; Non-profit company,108000,5000.0,USD,NaN,NaN,United States,Virginia,11 - 20 years,5-7 years,College degree,Woman,Asian or Asian American
80,81,2021-04-27 11:15:23,35-44,Media & Digital,Sr. Product Manager,Technology Product; Non-profit company,108000,5000.0,USD,NaN,NaN,United States,Virginia,11 - 20 years,5-7 years,College degree,Woman,White
81,82,2021-04-27 11:15:36,18-24,Business or Consulting,Research Analyst,NaN,68150,0.0,USD,NaN,NaN,United States,Virginia,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
81,82,2021-04-27 11:15:36,18-24,Business or Consulting,Research Analyst,NaN,68150,0.0,USD,NaN,NaN,United States,Virginia,2 - 4 years,2 - 4 years,College degree,Woman,White
82,83,2021-04-27 11:15:49,18-24,Recruitment or HR,Associate Recruiter,NaN,42000,7000.0,USD,NaN,additional $7000 is in commission,United States,Pennsylvania,2 - 4 years,2 - 4 years,College degree,Woman,White
83,84,2021-04-27 11:16:05,45-54,Engineering or Manufacturing,Application Specialist,Sales of highly technical specialized measurement products,52500,55000.0,CAD,NaN,"Our pay structure is low base pay with considerable quarterly profit sharing that frequently exceeds our base pay and is based on individual and company performance. Even in 2020, the QPS exceeded the base pay",Canada,NaN,21 - 30 years,2 - 4 years,College degree,Woman,White
84,85,2021-04-27 11:16:08,35-44,Health care,Physician (FM),NaN,200000,0.0,USD,NaN,NaN,United States,NaN,2 - 4 years,2 - 4 years,PhD,Woman,Asian or Asian American
84,85,2021-04-27 11:16:08,35-44,Health care,Physician (FM),NaN,200000,0.0,USD,NaN,NaN,United States,NaN,2 - 4 years,2 - 4 years,PhD,Woman,White
85,86,2021-04-27 11:16:09,45-54,Education (Higher Education),Corporate and Foundation Relations Manager,Primarily manage grant proposals and reports,41470,0.0,USD,NaN,NaN,United States,Kentucky,21 - 30 years,11 - 20 years,College degree,Woman,White
86,87,2021-04-27 11:16:16,35-44,"Marketing, Advertising & PR",Managing Supervisor,NaN,83000,0.0,USD,NaN,NaN,United States,Texas,11 - 20 years,11 - 20 years,College degree,Woman,White
87,88,2021-04-27 11:16:17,25-34,"Marketing, Advertising & PR",Marketing Manager / Senior Product Manager,NaN,52000,5000.0,GBP,NaN,NaN,United Kingdom,NaN,8 - 10 years,5-7 years,College degree,Man,Asian or Asian American
87,88,2021-04-27 11:16:17,25-34,"Marketing, Advertising & PR",Marketing Manager / Senior Product Manager,NaN,52000,5000.0,GBP,NaN,NaN,United Kingdom,NaN,8 - 10 years,5-7 years,College degree,Man,White
88,89,2021-04-27 11:16:53,25-34,Education (Primary/Secondary),Art Teacher,NaN,41000,0.0,USD,NaN,"Im a second year teacher, pay goes up every consecutive year",United States,North Carolina,5-7 years,5-7 years,Master's degree,Woman,White
89,90,2021-04-27 11:17:03,45-54,Education (Higher Education),International Services Coordinator,NaN,59000,0.0,USD,NaN,NaN,United States,Illinois,11 - 20 years,11 - 20 years,College degree,Woman,White
90,91,2021-04-27 11:17:06,25-34,"Accounting, Banking & Finance",Staff Accountant,NaN,64000,10000.0,USD,NaN,NaN,United States,Texas,11 - 20 years,5-7 years,College degree,Woman,White
91,92,2021-04-27 11:17:07,25-34,Government and Public Administration,Head of Youth Services- Public Library,"I work for a public library district, running the Youth Department (Birth-17 years).",60000,0.0,USD,NaN,NaN,United States,Illinois,8 - 10 years,8 - 10 years,Master's degree,Woman,White
92,93,2021-04-27 11:17:17,45-54,"Leisure, Sport & Tourism",Operations Manager,"Basically ""Jill of all trades"" for a Martial Arts academy",60000,0.0,CAD,NaN,NaN,Canada,NaN,21 - 30 years,2 - 4 years,College degree,Woman,White
93,94,2021-04-27 11:17:19,35-44,Defense contracting,Project Controller Senior,NaN,98500,0.0,USD,NaN,NaN,United States,Virginia,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer
94,95,2021-04-27 11:17:40,35-44,Government and Public Administration,Emergency Management Planner,NaN,65936,0.0,USD,NaN,NaN,United States,Minnesota,8 - 10 years,8 - 10 years,Master's degree,Woman,White
95,96,2021-04-27 11:17:50,45-54,Government and Public Administration,Administration,NaN,55785,0.0,USD,NaN,NaN,United States,Minnesota,21 - 30 years,8 - 10 years,College degree,Woman,White
96,97,2021-04-27 11:17:53,35-44,Nonprofits,Technology Coordinator,NaN,40000,0.0,USD,NaN,NaN,United States,Rhode Island,8 - 10 years,8 - 10 years,Master's degree,Man,White
97,98,2021-04-27 11:17:53,25-34,Media & Digital,Managing Editor,NaN,61,0.0,USD,NaN,NaN,United States,Maryland,5-7 years,5-7 years,College degree,Woman,White
98,99,2021-04-27 11:18:06,35-44,Education (Higher Education),Assistant Professor of History,NaN,70000,0.0,USD,NaN,NaN,United States,Texas,11 - 20 years,11 - 20 years,PhD,Woman,White
99,100,2021-04-27 11:18:10,35-44,Health care,Embryologist,NaN,64854,300.0,USD,NaN,NaN,United States,South Dakota,8 - 10 years,2 - 4 years,PhD,Woman,White
100,101,2021-04-27 11:18:11,35-44,Nonprofits,Director of Finance and Administration,I also serve as the de facto HR department for my company.,82650,5453.0,USD,NaN,"Plus discretionary annual bonus (2020 had zero bonuses due to pandemic, so did not include here - in the past bonuses were around $3000)",United States,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White
101,102,2021-04-27 11:18:15,25-34,Education (Higher Education),Associate Director,"I work at a top business school, which has higher salaries",102500,0.0,USD,NaN,NaN,United States,New Hampshire,11 - 20 years,11 - 20 years,Master's degree,Woman,White
102,103,2021-04-27 11:18:20,35-44,Nonprofits,Director of Development and Communications,NaN,100000,0.0,USD,NaN,NaN,United States,California,11 - 20 years,8 - 10 years,Master's degree,Woman,White
103,104,2021-04-27 11:18:28,25-34,"Accounting, Banking & Finance",Vice President Advisor Escalations,My team facilitates escalated issues for Financial Advisors,100000,15000.0,USD,NaN,NaN,United States,Illinois,11 - 20 years,2 - 4 years,Some college,Woman,Black or African American
104,105,2021-04-27 11:18:32,25-34,Health care,Program Manager,NaN,120000,12000.0,USD,NaN,NaN,United States,California,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
104,105,2021-04-27 11:18:32,25-34,Health care,Program Manager,NaN,120000,12000.0,USD,NaN,NaN,United States,California,5-7 years,5-7 years,Master's degree,Woman,White
105,106,2021-04-27 11:18:33,35-44,"Accounting, Banking & Finance",Client Admin Team Manager,Employee Share Plans Administration Team Manager,62000,3000.0,GBP,NaN,NaN,United Kingdom,NaN,21 - 30 years,11 - 20 years,High School,Woman,White
106,107,2021-04-27 11:18:43,25-34,Life Sciences,Lab Technician,NaN,50000,0.0,USD,NaN,NaN,United States,Massachusetts,5-7 years,5-7 years,College degree,Woman,White
107,108,2021-04-27 11:18:55,25-34,Health care,Clinical Evaluation Manager,Regulatory affairs,4400,0.0,GBP,NaN,We do recieve an annual bonus but it's a percentage of salary (3%) so I couldn't write it above,United Kingdom,NaN,11 - 20 years,8 - 10 years,Master's degree,Woman,White
108,109,2021-04-27 11:19:07,35-44,Retail,Store Manager,NaN,32448,5000.0,USD,NaN,NaN,United States,Colorado,21 - 30 years,5-7 years,College degree,Woman,Hispanic Latino or Spanish origin
108,109,2021-04-27 11:19:07,35-44,Retail,Store Manager,NaN,32448,5000.0,USD,NaN,NaN,United States,Colorado,21 - 30 years,5-7 years,College degree,Woman,White
109,110,2021-04-27 11:19:08,45-54,Computing or Tech,OPerations Manager,NaN,93000,5000.0,USD,NaN,Small tech company - less than 50 employees,United States,South Carolina,21 - 30 years,11 - 20 years,College degree,Woman,White
110,111,2021-04-27 11:19:14,25-34,Art & Design,Art Coordinator,Managing the art collection and developing accompanying programming in a senior living facility.,31200,0.0,USD,NaN,NaN,United States,Michigan,2 - 4 years,2 - 4 years,College degree,Woman,White
111,112,2021-04-27 11:19:37,35-44,Insurance,Claims Administration Manager,NaN,78998,0.0,USD,NaN,NaN,United States,Michigan,11 - 20 years,8 - 10 years,College degree,Woman,White
112,113,2021-04-27 11:19:41,35-44,Health care,Psychiatric Nurse Practitioner,NaN,140000,0.0,USD,NaN,NaN,United States,Maryland,8 - 10 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
113,114,2021-04-27 11:19:44,25-34,Education (Higher Education),Learning and Retention Specialist,Co-running a tutoring center,50000,0.0,USD,NaN,NaN,United States,Illinois,5-7 years,5-7 years,Master's degree,Woman,White
114,115,2021-04-27 11:19:47,25-34,Education (Primary/Secondary),Private tutor and nanny,NaN,70000,0.0,USD,NaN,NaN,United States,NaN,8 - 10 years,2 - 4 years,Some college,Woman,White
115,116,2021-04-27 11:20:20,25-34,Media & Digital,Associate Editor,NaN,72000,0.0,USD,NaN,NaN,United States,New York,5-7 years,5-7 years,PhD,Woman,White
116,117,2021-04-27 11:20:27,25-34,FMCG,Global digital and social media HR manager,It’s a fancy title for employer branding / recruitment marketing.,75000,0.0,EUR,NaN,NaN,Netherlands,NaN,8 - 10 years,2 - 4 years,Master's degree,Woman,White
117,118,2021-04-27 11:20:28,25-34,Computing or Tech,Human Resources Director,NaN,90000,0.0,USD,NaN,NaN,United States,Texas,8 - 10 years,8 - 10 years,Master's degree,Woman,White
118,119,2021-04-27 11:21:16,35-44,Government and Public Administration,Program Analyst,Government Auditor,90000,0.0,USD,NaN,NaN,United States,Massachusetts,11 - 20 years,8 - 10 years,Master's degree,Woman,White
119,120,2021-04-27 11:21:19,35-44,Law,Senior Counsel,"In house, technology company, large city",185000,10000.0,USD,NaN,NaN,United States,Illinois,11 - 20 years,8 - 10 years,PhD,Woman,White
120,121,2021-04-27 11:21:25,25-34,Computing or Tech,Junior Experience Developer,(Web design and development),66300,66300.0,CAD,NaN,NaN,Canada,NaN,5-7 years,2 - 4 years,College degree,Woman,White
121,122,2021-04-27 11:21:35,55-64,Education (Higher Education),Principal Policy Analyst,NaN,98000,0.0,USD,NaN,NaN,United States,California,8 - 10 years,8 - 10 years,Master's degree,Woman,White
122,123,2021-04-27 11:21:43,25-34,"Marketing, Advertising & PR",Researcher and Writer,NaN,42000,1200.0,USD,NaN,NaN,United States,Louisiana,11 - 20 years,8 - 10 years,College degree,Woman,White
123,124,2021-04-27 11:21:45,25-34,Nonprofits,Vice President of Operations,NaN,125000,0.0,USD,NaN,NaN,United States,New York,8 - 10 years,5-7 years,College degree,Woman,White
124,125,2021-04-27 11:21:59,55-64,Business or Consulting,Senior Account Manager,NaN,55000,2500.0,USD,NaN,NaN,United States,New Mexico,21 - 30 years,8 - 10 years,College degree,Woman,White
125,126,2021-04-27 11:22:24,25-34,Computing or Tech,Conversion Optimization Specialist,NaN,98000,0.0,USD,NaN,"There is also some equity, which I don't count as real money.",United States,New York,8 - 10 years,5-7 years,Master's degree,Woman,White
126,127,2021-04-27 11:22:48,25-34,Computing or Tech,Senior Data Scientist,NaN,150000,0.0,USD,NaN,NaN,United States,Connecticut,5-7 years,5-7 years,Master's degree,Woman,White
